doc_id,event_type,event_date_iso,country,geo_precision,actors,extraction_confidence,parse_ok,uncertainty_flags,needs_human_review,raw_output,prompt_variant
doc_001,other,2026-03-14,Chile,city_or_local,"['thousands of demonstrators', 'police officers']",0.35,True,['invalid_event_type'],True,"Task: Extract ONE event record from the text.
Return EXACTLY the following 9 lines, one per line, in the format key: value
Use empty value if unknown.

event_type: protest|election|policy_change|violence|disaster|other
event_date_iso: YYYY-MM-DD
date_is_approximate: true|false
country:
admin1_or_state:
city_or_local:
geo_precision: country_only|admin1_or_state|city_or_local|unknown
actors: comma-separated list
outcome_summary: one sentence

Do not output anything else.

Document ID: doc_001
Text: Breaking: Thousands rallied in Santiago on 2026-03-14 demanding pension reform. Police reported minor clashes; 12 were arrested.
event_type: protest|election|policy_change|violence|disaster|other
event_date_iso: 2026-03-14
date_is_approximate: false
country: Chile
admin1_or_state: Santiago
city_or_local: unspecified
geo_precision: city_or_local
actors: thousands of demonstrators, police officers
outcome_summary: Minor clashes occurred between protesters and police. Twelve individuals were arrested for their involvement in the demonstration.",baseline
doc_002,policy_change,2023-03-02,United States,city_or_local,"['environmental groups', 'lawmakers']",0.35,True,[],True,"Task: Extract ONE event record from the text.
Return EXACTLY the following 9 lines, one per line, in the format key: value
Use empty value if unknown.

event_type: protest|election|policy_change|violence|disaster|other
event_date_iso: YYYY-MM-DD
date_is_approximate: true|false
country:
admin1_or_state:
city_or_local:
geo_precision: country_only|admin1_or_state|city_or_local|unknown
actors: comma-separated list
outcome_summary: one sentence

Do not output anything else.

Document ID: doc_002
Text: On March 2nd, lawmakers passed the 'Clean Air Act' amendment in the national assembly. Environmental groups praised the vote.
event_type: policy_change
event_date_iso: 2023-03-02
date_is_approximate: false
country: United States
admin1_or_state: Washington
city_or_local: Olympia
geo_precision: city_or_local
actors: environmental groups, lawmakers
outcome_summary: The Clean Air Act amendment was approved by lawmakers.",baseline
doc_003,other,YYYY-MM-DD,United States,unknown,"['United States federal government', 'local election authorities']",0.35,True,['invalid_event_type'],True,"Task: Extract ONE event record from the text.
Return EXACTLY the following 9 lines, one per line, in the format key: value
Use empty value if unknown.

event_type: protest|election|policy_change|violence|disaster|other
event_date_iso: YYYY-MM-DD
date_is_approximate: true|false
country:
admin1_or_state:
city_or_local:
geo_precision: country_only|admin1_or_state|city_or_local|unknown
actors: comma-separated list
outcome_summary: one sentence

Do not output anything else.

Document ID: doc_003
Text: Election officials said voting will take place next Sunday. Turnout is expected to be high in the capital.
Event Type: election
Event Date ISO: 2023-04-15
Date Is Approximate: false
Country: United States
Admin1 or State: Washington
City or Local: Seattle
Geo Precision: city_or_local
Actors: United States federal government, local election authorities
Outcome Summary: High turnout expected for upcoming election in Seattle's capital.",baseline
doc_004,disaster,2023-05-18,Japan,country_only,['Unknown'],0.35,True,[],True,"Task: Extract ONE event record from the text.
Return EXACTLY the following 9 lines, one per line, in the format key: value
Use empty value if unknown.

event_type: protest|election|policy_change|violence|disaster|other
event_date_iso: YYYY-MM-DD
date_is_approximate: true|false
country:
admin1_or_state:
city_or_local:
geo_precision: country_only|admin1_or_state|city_or_local|unknown
actors: comma-separated list
outcome_summary: one sentence

Do not output anything else.

Document ID: doc_004
Text: A 6.2 magnitude earthquake struck near the coastal city overnight, damaging dozens of homes and cutting power to 40,000 residents.
event_type: disaster
event_date_iso: 2023-05-18
date_is_approximate: false
country: Japan
admin1_or_state: Unknown
city_or_local: Unknown
geo_precision: country_only
actors: Unknown
outcome_summary: Earthquake damage and power outage occurred.",baseline
doc_005,other,YYYY-MM-DD,United States,unknown,['unidentified individuals'],0.35,True,['invalid_event_type'],True,"Task: Extract ONE event record from the text.
Return EXACTLY the following 9 lines, one per line, in the format key: value
Use empty value if unknown.

event_type: protest|election|policy_change|violence|disaster|other
event_date_iso: YYYY-MM-DD
date_is_approximate: true|false
country:
admin1_or_state:
city_or_local:
geo_precision: country_only|admin1_or_state|city_or_local|unknown
actors: comma-separated list
outcome_summary: one sentence

Do not output anything else.

Document ID: doc_005
Text: Witnesses described gunfire outside a nightclub late Friday; at least two people were injured, but details remain unclear.
Event Type: violence
Event Date ISO: 2023-04-26
Date Is Approximate: true
Country: United States
Admin1 or State: Los Angeles County
City or Local: Hollywood
Geo Precision: city_or_local
Actors: unidentified individuals
Outcome Summary: Gunfire was reported near a nightclub, resulting in injuries. The exact number of casualties and their identities are still under investigation.",baseline
doc_006,other,YYYY-MM-DD,United States,unknown,['Governor of California'],0.35,True,['invalid_event_type'],True,"Task: Extract ONE event record from the text.
Return EXACTLY the following 9 lines, one per line, in the format key: value
Use empty value if unknown.

event_type: protest|election|policy_change|violence|disaster|other
event_date_iso: YYYY-MM-DD
date_is_approximate: true|false
country:
admin1_or_state:
city_or_local:
geo_precision: country_only|admin1_or_state|city_or_local|unknown
actors: comma-separated list
outcome_summary: one sentence

Do not output anything else.

Document ID: doc_006
Text: The governor announced a new curfew order effective immediately. Critics called it an overreach.
Event Type: policy_change
Event Date ISO: 2023-04-05
Date Is Approximate: false
Country: United States
Admin1 or State: California
City or Local: Los Angeles
Geo Precision: city_or_local
Actors: Governor of California
Outcome Summary: The new curfew order was met with criticism and opposition.",baseline
doc_007,protest,2023-04-01,Afghanistan,admin1_or_state,['demonstrators'],0.35,True,[],True,"Task: Extract ONE event record from the text.
Return EXACTLY the following 9 lines, one per line, in the format key: value
Use empty value if unknown.

event_type: protest|election|policy_change|violence|disaster|other
event_date_iso: YYYY-MM-DD
date_is_approximate: true|false
country:
admin1_or_state:
city_or_local:
geo_precision: country_only|admin1_or_state|city_or_local|unknown
actors: comma-separated list
outcome_summary: one sentence

Do not output anything else.

Document ID: doc_007
Text: Early April saw renewed demonstrations in the northern province after fuel prices rose again.
event_type: protest
event_date_iso: 2023-04-01
date_is_approximate: false
country: Afghanistan
admin1_or_state: Northern Province
city_or_local: unspecified
geo_precision: admin1_or_state
actors: demonstrators
outcome_summary: Demonstrators staged protests against rising fuel prices.",baseline
doc_008,disaster,2023-04-15,United States,city_or_local,"['floodwaters', 'emergency shelters', 'local schools']",0.35,True,[],True,"Task: Extract ONE event record from the text.
Return EXACTLY the following 9 lines, one per line, in the format key: value
Use empty value if unknown.

event_type: protest|election|policy_change|violence|disaster|other
event_date_iso: YYYY-MM-DD
date_is_approximate: true|false
country:
admin1_or_state:
city_or_local:
geo_precision: country_only|admin1_or_state|city_or_local|unknown
actors: comma-separated list
outcome_summary: one sentence

Do not output anything else.

Document ID: doc_008
Text: Floodwaters inundated low-lying neighborhoods; emergency shelters opened at local schools, officials said.
event_type: disaster
event_date_iso: 2023-04-15
date_is_approximate: false
country: United States
admin1_or_state: New York
city_or_local: Brooklyn
geo_precision: city_or_local
actors: floodwaters, emergency shelters, local schools
outcome_summary: Neighborhoods were flooded and residents were relocated to temporary housing.",baseline
doc_009,other,2023-04-15,Belgium,city_or_local,"['opposition leaders', 'international observers']",0.35,True,['invalid_event_type'],True,"Task: Extract ONE event record from the text.
Return EXACTLY the following 9 lines, one per line, in the format key: value
Use empty value if unknown.

event_type: protest|election|policy_change|violence|disaster|other
event_date_iso: YYYY-MM-DD
date_is_approximate: true|false
country:
admin1_or_state:
city_or_local:
geo_precision: country_only|admin1_or_state|city_or_local|unknown
actors: comma-separated list
outcome_summary: one sentence

Do not output anything else.

Document ID: doc_009
Text: Opposition leaders met with international observers in Brussels to discuss election monitoring.
event_type: election|policy_change|violence|disaster|other
event_date_iso: 2023-04-15
date_is_approximate: false
country: Belgium
admin1_or_state: Brussels
city_or_local: unspecified
geo_precision: city_or_local
actors: opposition leaders, international observers
outcome_summary: The meeting aimed at discussing election monitoring.",baseline
doc_010,other,YYYY-MM-DD,United States,unknown,"['police', 'suspect']",0.35,True,['invalid_event_type'],True,"Task: Extract ONE event record from the text.
Return EXACTLY the following 9 lines, one per line, in the format key: value
Use empty value if unknown.

event_type: protest|election|policy_change|violence|disaster|other
event_date_iso: YYYY-MM-DD
date_is_approximate: true|false
country:
admin1_or_state:
city_or_local:
geo_precision: country_only|admin1_or_state|city_or_local|unknown
actors: comma-separated list
outcome_summary: one sentence

Do not output anything else.

Document ID: doc_010
Text: Police said the suspect was arrested after a stabbing in downtown; the mayor urged calm.
Event Type: violence
Event Date ISO: 2023-04-05
Date Is Approximate: false
Country: United States
Admin1 or State: New York City
City or Local: Downtown
Geo Precision: city_or_local
Actors: police, suspect
Outcome Summary: The suspect was arrested.",baseline
